게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Dead by Daylight - Macabre Tales Pack,24900,14940,https://store.epicgames.com/ko/p/dead-by-daylight--macabre-tales-pack,-40,0,Epic,https://cdn1.epicgames.com/offer/611482b8586142cda48a0786eb8a127c/EGS_DeadbyDaylightMacabreTalesPack_BehaviourInteractive_DLC_S2_1200x1600-b2c1f66c7d7bb933c5df3e0df3b974c2?resize=1&w=360&h=480&quality=medium,Action,
PC Building Simulator,20000,20000,https://store.epicgames.com/ko/p/pc-building-simulator,0,0,Epic,https://cdn1.epicgames.com/offer/8f5f5eff22f3468fa5551771406fc868/Portrait_korean_1200x1600-a9a5680f94e8ff46583eb01427bb0757?resize=1&w=360&h=480&quality=medium,"Indie, Simulation",
FINAL FANTASY VI,79800,47880,https://store.epicgames.com/ko/p/final-fantasy-vii-rebirth,-40,0,Epic,https://cdn1.epicgames.com/offer/e9a679451d094c1ba3d008b6a01adec5/EGS_FINALFANTASYVIIREBIRTH_SquareEnix_S2_1200x1600-7708f856b86bea9ac254780e78deb3cf?resize=1&w=360&h=480&quality=medium,RPG,12
Dead by Daylight - Maddening Darkness Pack,10500,6300,https://store.epicgames.com/ko/p/dead-by-daylight--maddening-darkness-pack,-40,0,Epic,https://cdn1.epicgames.com/offer/611482b8586142cda48a0786eb8a127c/EGS_DeadbyDaylightMaddeningDarknessPack_BehaviourInteractive_DLC_S2_1200x1600-a57b7d5771422b169514e35f739ead6e?resize=1&w=360&h=480&quality=medium,Action,
Wild Assault,29000,29000,https://store.epicgames.com/ko/p/wildassault-05e6bc,0,0,Epic,https://cdn1.epicgames.com/spt-assets/22af04e0d5714084adfd927e1d44ac16/wildassault-3thvm.png?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Massively Multiplayer, Early Access",
SONIC X SHADOW GENERATIONS,무료,무료,https://store.epicgames.com/ko/p/sonic-x-shadow-generations--sonic-jam-legacy-skin,0,0,Epic,https://cdn1.epicgames.com/offer/a195e51c853d46038d13c49b882a9215/Epic_SSGenerations_RetroSkinClassic_ProductPortraitImage_3x4_1200X1600_1200x1600-30009bf78d89e39683806ffd904fb3ac?resize=1&w=360&h=480&quality=medium,Action,ALL
Kerbal Space Program: Making History Expansion,16000,8000,https://store.epicgames.com/ko/p/kerbal-space-program--making-history-expansion,-50,0,Epic,https://cdn1.epicgames.com/offer/ca0530b485754032be50cb6f27be0c2c/EGS_KerbalSpaceProgramMakingHistoryExpansion_Squad_DLC_S2_1200x1600-14908e166e9bc70bb4a84b4a84787a9e?resize=1&w=360&h=480&quality=medium,"Indie, Simulation",ALL
Brotato: Abyssal Terrors,4500,4500,https://store.epicgames.com/ko/p/brotato-brotato-abyssal-terrors-5d2d1a,0,0,Epic,https://cdn1.epicgames.com/spt-assets/2c5525406ea34caebf391f1f4c8a44a5/brotato-erfvp.png?resize=1&w=360&h=480&quality=medium,"Action, Casual, Indie, RPG",
The Sims™ 4 StrangerVille,22000,15400,https://store.epicgames.com/ko/p/the-sims-4--strangerville,-30,0,Epic,https://cdn1.epicgames.com/offer/2a14cf8a83b149919a2399504e5686a6/EGS_GP07TheSims4StrangerVille_Maxis_DLC_S2_1200x1600-5cb07f576a1aaa676823c624eb94a7f0?resize=1&w=360&h=480&quality=medium,Simulation,15
Total War: WARHAMMER III - Gorbad – Omens of Destruction,9000,7200,https://store.epicgames.com/ko/p/total-war-warhammer-3--gorbad-ironclaw,-20,0,Epic,https://cdn1.epicgames.com/offer/dda64c2956b54f1ba3cd97f6aaee775f/EGS_TotalWarWARHAMMERIIIGorbad_CREATIVEASSEMBLY_DLC_S2_1200x1600-039853d044194f3b24c8d6fd351d6eb8?resize=1&w=360&h=480&quality=medium,"Action, Strategy",
Songs of Conquest - Roots,10200,10200,https://store.epicgames.com/ko/p/songs-of-conquest-songs-of-conquest-roots-01210f,0,0,Epic,https://cdn1.epicgames.com/spt-assets/94a3384a2e9f4b69a5fcb13d9cdbddd8/songs-of-conquest-1brma.jpg?resize=1&w=360&h=480&quality=medium,"Adventure, RPG, Strategy",
No More Room in Hell 2,32000,24000,https://store.epicgames.com/ko/p/no-more-room-in-hell-2-ea1b5c,-25,0,Epic,https://cdn1.epicgames.com/spt-assets/a80b01a9794a4d0288427a2fba7fc0c9/no-more-room-in-hell-2-x0znt.jpg?resize=1&w=360&h=480&quality=medium,"Action, Indie, Early Access",
Clank!,62800,31400,https://store.epicgames.com/ko/p/ratchet-clank-rift-apart,-50,0,Epic,https://cdn1.epicgames.com/offer/046aeb7098b94ac3961dad6c5dbe68c0/EGS_RatchetClankRiftApart_InsomniacGames_S2_1200x1600-52110dae5ab01644738dac07ac1ea796?resize=1&w=360&h=480&quality=medium,Strategy,
