게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,Steam,https://image.directg.net/upload/product/goods_1751264694_simg.jpg,"\32,000",7%,"\29,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005539
Destiny 2: Legacy Collection (2025),Steam,https://image.directg.net/upload/product/goods_1752629380_simg.jpg,"\77,500",7%,"\72,000",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005577
EDENS ZERO,Steam,https://image.directg.net/upload/product/goods_1749782222_simg.jpg,"\95,200",16%,"\79,800",액션/RPG,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005490
EDENS ZERO Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1749782276_simg.jpg,"\111,100",16%,"\92,800",액션/RPG,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005491
Every Day We Fight,Steam,https://image.directg.net/upload/product/goods_1751596288_simg.jpg,"\29,900",할인 없음,"\29,900",액션/RPG,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005548
Ruffy and the Riverside,Steam,https://image.directg.net/upload/product/goods_1750931995_simg.jpg,"\26,400",6%,"\24,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005536
Medieval Dynasty - Echoes of Nature,Steam,https://image.directg.net/upload/product/goods_1751593324_simg.jpg,"\6,900",14%,"\5,900",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005547
Dungeons 4 - Tales from the Campfire,Steam,https://image.directg.net/upload/product/goods_1750385518_simg.jpg,"\12,900",할인 없음,"\12,900",전략/시뮬레이션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005512
Shambles: Sons of Apocalypse,Steam,https://image.directg.net/upload/product/goods_1750914810_simg.jpg,"\21,500",8%,"\19,800",액션/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005534
Railway Empire 2 - Industrial Wonders,Steam,https://image.directg.net/upload/product/goods_1750383968_simg.jpg,"\12,900",할인 없음,"\12,900",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005511
REMATCH,Steam,https://image.directg.net/upload/product/goods_1750039314_simg.jpg,"\32,000",7%,"\29,800",스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005492
REMATCH - PRO EDITION,Steam,https://image.directg.net/upload/product/goods_1750039508_simg.jpg,"\42,700",7%,"\39,800",스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005493
REMATCH - ELITE EDITION,Steam,https://image.directg.net/upload/product/goods_1750039677_simg.jpg,"\49,800",7%,"\46,500",스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005494
DJMAX RESPECT V - V LIBERTY III PACK,Steam,https://image.directg.net/upload/product/goods_1750302465_simg.jpg,"\29,800",8%,"\27,500",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005502
Architect Life: A House Design Simulator,Steam,https://image.directg.net/upload/product/goods_1750322692_simg.jpg,"\32,000",7%,"\29,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005505
Architect Life: A House Design Simulator - Supporter Edition,Steam,https://image.directg.net/upload/product/goods_1750323339_simg.jpg,"\42,000",5%,"\39,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005506
Architect Life - Architect's Home Office,Steam,https://image.directg.net/upload/product/goods_1750323595_simg.jpg,"\3,400",15%,"\2,900",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005507
