게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
WRC 10 FIA World Rally Championship - Arena Panzerplatte SSS,Steam,https://image.directg.net/upload/product/goods_1630389256_simg.jpg,"\5,500",13%,"\4,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002983
WRC 10 FIA World Rally Championship - Mitsubishi Lancer Evo V 1998,Steam,https://image.directg.net/upload/product/goods_1630389298_simg.jpg,"\5,500",13%,"\4,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002984
WRC 10 FIA World Rally Championship - Subaru Impreza WRC 1997,Steam,https://image.directg.net/upload/product/goods_1630389321_simg.jpg,"\5,500",13%,"\4,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002985
Ghostrunner - Neon Pack,Steam,https://image.directg.net/upload/product/goods_1633674694_simg.jpg,"\5,700",12%,"\5,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003034
Ghostrunner Summer Bundle,Steam,https://image.directg.net/upload/product/goods_1633673444_simg.jpg,"\52,600",15%,"\44,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003035
Ghostrunner Art Bundle,Steam,https://image.directg.net/upload/product/goods_1633672135_simg.jpg,"\40,200",13%,"\34,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003036
Monster Harvest,Steam,https://image.directg.net/upload/product/goods_1745546668_simg.jpg,"\17,500",6%,"\16,500",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005388
KeyWe,Steam,https://image.directg.net/upload/product/goods_1675651143_simg.jpg,"\26,000",5%,"\24,800",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003957
Tropico 6 - Festival,Steam,https://image.directg.net/upload/product/goods_1629717143_simg.jpg,"\17,700",16%,"\14,800",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002960
Darksburg,Steam,https://image.directg.net/upload/product/goods_1629879672_simg.jpg,"\15,500",5%,"\14,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002979
Comanche,Steam,https://image.directg.net/upload/product/goods_1630052837_simg.jpg,"\20,500",3%,"\19,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002992
THE LEGEND OF HEROES: HAJIMARI NO KISEKI,Steam,https://image.directg.net/upload/product/goods_1629797285_simg.jpg,"\64,800",할인 없음,"\64,800",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002978
Aliens: Fireteam Elite,Steam,https://image.directg.net/upload/product/goods_1624516076_simg.png,"\35,000",할인 없음,"\35,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002788
Behind the Frame: The Finest Scenery,Steam,https://image.directg.net/upload/product/goods_1672362364_simg.jpg,"\14,500",12%,"\12,800",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003894
THE LEGEND OF HEROES: HAJIMARI NO KISEKI - Costume Pack,Steam,https://image.directg.net/upload/product/goods_1736991577_simg.jpg,"\14,800",할인 없음,"\14,800",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005174
RiMS Racing: European Manufacturers Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1629189063_simg.jpg,"\61,600",3%,"\59,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002933
RiMS Racing: Japanese Manufacturers Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1629450292_simg.jpg,"\61,600",3%,"\59,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002934
RiMS Racing: The Bloody Beetroots Specials,Steam,https://image.directg.net/upload/product/goods_1629454468_simg.jpg,"\4,400",11%,"\3,900",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002936
RiMS Racing: Career Pro Starter Pack,Steam,https://image.directg.net/upload/product/goods_1629454492_simg.jpg,"\3,300",12%,"\2,900",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002939
RiMS Racing: Nolan X-LITE Helmets,Steam,https://image.directg.net/upload/product/goods_1629454506_simg.jpg,"\2,200",14%,"\1,900",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002940
RiMS Racing: European Manufacturers Package,Steam,https://image.directg.net/upload/product/goods_1629454521_simg.jpg,"\15,500",10%,"\14,000",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002943
RiMS Racing: Japanese Manufacturers Package,Steam,https://image.directg.net/upload/product/goods_1629454536_simg.jpg,"\15,500",10%,"\14,000",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002944
RiMS Racing: Bahrain International Circuit,Steam,https://image.directg.net/upload/product/goods_1629454550_simg.jpg,"\5,500",11%,"\4,900",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002945
RiMS Racing: Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1629188572_simg.jpg,"\72,000",3%,"\69,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002947
Mortal Shell,Steam,https://image.directg.net/upload/product/goods_1710221820_simg.jpg,"\30,000",할인 없음,"\30,000",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004611
Mortal Shell: The Virtuous Cycle,Steam,https://image.directg.net/upload/product/goods_1710222084_simg.jpg,"\5,500",할인 없음,"\5,500",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004612
RiMS Racing,Steam,https://image.directg.net/upload/product/goods_1629182645_simg.jpg,"\51,000",2%,"\49,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002930
Dying Light - Astronaut Bundle,Steam,https://image.directg.net/upload/product/goods_1642405192_simg.jpg,"\3,300",9%,"\3,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003162
Greak: Memories of Azur,Steam,https://image.directg.net/upload/product/goods_1654740255_simg.jpg,"\20,500",3%,"\19,800",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003425
HUMANKIND,Steam,https://image.directg.net/upload/product/goods_1620700325_simg.jpg,"\50,000",10%,"\45,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002694
HUMANKIND Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1620700937_simg.jpg,"\62,000",11%,"\55,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002695
FORECLOSED,Steam,https://image.directg.net/upload/product/goods_1745546322_simg.jpg,"\17,500",6%,"\16,500",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005387
Lawn Mowing Simulator,Steam,https://image.directg.net/upload/product/goods_1649040549_simg.jpg,"\22,500",12%,"\19,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002922
Lawn Mowing Simulator - Ancient Britain,Steam,https://image.directg.net/upload/product/goods_1644400724_simg.jpg,"\5,500",11%,"\4,900",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003200
Operation Tango,Steam,https://image.directg.net/upload/product/goods_1629794561_simg.jpg,"\20,500",3%,"\19,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002977
Dreamscaper,Steam,https://image.directg.net/upload/product/goods_1680241505_simg.jpg,"\27,000",8%,"\24,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004091
The Falconeer - Edge of the World,Steam,https://image.directg.net/upload/product/goods_1627443930_simg.jpg,"\8,500",7%,"\7,900",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002855
The Falconeer Warrior Edition,Steam,https://image.directg.net/upload/product/goods_1627549308_simg.jpg,"\28,100",2%,"\27,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002893
Dodgeball Academia,Steam,https://image.directg.net/upload/product/goods_1671777652_simg.jpg,"\26,000",5%,"\24,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003882
GRIME,Steam,https://image.directg.net/upload/product/goods_1672362951_simg.jpg,"\26,000",10%,"\23,500",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003895
The Ascent,Steam,https://image.directg.net/upload/product/goods_1649039339_simg.jpg,가격 정보 없음,할인 없음,가격 정보 없음,액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002866
Eldest Souls,Steam,https://image.directg.net/upload/product/goods_1622104442_simg.jpg,"\20,500",3%,"\19,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002736
The Forgotten City,Steam,https://image.directg.net/upload/product/goods_1649844288_simg.jpg,"\27,000",8%,"\24,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003335
The Forgotten City - Collector's DLC,Steam,https://image.directg.net/upload/product/goods_1650006711_simg.jpg,"\4,400",9%,"\4,000",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003336
The Forgotten City - Soundtrack,Steam,https://image.directg.net/upload/product/goods_1650007089_simg.jpg,"\6,500",8%,"\6,000",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003337
The Forgotten City Digital Collector's Edition,Steam,https://image.directg.net/upload/product/goods_1650007293_simg.jpg,"\34,100",13%,"\29,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003338
Blightbound,Steam,https://image.directg.net/upload/product/goods_1639032265_simg.png,"\20,500",3%,"\19,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003127
Orcs Must Die! 3,Steam,https://image.directg.net/upload/product/goods_1652688504_simg.jpg,"\31,000",4%,"\29,800",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003372
Deepest Chamber: Resurrection,Steam,https://image.directg.net/upload/product/goods_1675242904_simg.jpg,"\13,500",10%,"\12,100",롤플레잉,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003067
DJMAX RESPECT V - ESTIMATE PACK,Steam,https://image.directg.net/upload/product/goods_1638514684_simg.jpg,"\9,800",83%,"\1,700",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003111
Urban Trial Tricky Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1628754639_simg.jpg,"\25,000",12%,"\22,000",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002901
Cris Tales,Steam,https://image.directg.net/upload/product/goods_1624848634_simg.jpg,"\41,000",3%,"\39,800",롤플레잉,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002791
Death's Door,Steam,https://image.directg.net/upload/product/goods_1639022423_simg.jpg,"\21,500",5%,"\20,500",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003119
Streets Of Rage 4 + Mr. X Nightmare DLC,Steam,https://image.directg.net/upload/product/goods_1629184027_simg.jpg,"\31,000",4%,"\29,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002932
Streets Of Rage 4 - Mr. X Nightmare,Steam,https://image.directg.net/upload/product/goods_1622515889_simg.jpg,"\8,500",9%,"\7,700",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002743
Total War: WARHAMMER II - The Silence & The Fury,Steam,https://image.directg.net/upload/product/goods_1643262115_simg.jpg,"\10,500",10%,"\9,400",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003182
R-Type Final 2 - Stage Pass,Steam,https://image.directg.net/upload/product/goods_1663919336_simg.jpg,"\21,100",6%,"\19,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003691
R-Type Final 2 Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1663922082_simg.jpg,"\70,400",8%,"\64,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003695
Monster Hunter Stories 2: Wings of Ruin,Steam,https://image.directg.net/upload/product/goods_1623114376_simg.jpg,"\44,800",11%,"\39,800",롤플레잉,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002754
Monster Hunter Stories 2: Wings of Ruin Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1623115836_simg.jpg,"\54,200",12%,"\47,800",롤플레잉,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002755
Black Skylands,Steam,https://image.directg.net/upload/product/goods_1693444451_simg.jpg,"\21,500",13%,"\18,700",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002916
Boomerang X,Steam,https://image.directg.net/upload/product/goods_1639026775_simg.jpg,"\22,000",5%,"\21,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003121
GreedFall - Gold Edition,Steam,https://image.directg.net/upload/product/goods_1625106881_simg.jpg,"\44,800",할인 없음,"\44,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002793
GreedFall - The De Vespe Conspiracy,Steam,https://image.directg.net/upload/product/goods_1625106755_simg.jpg,"\8,000",할인 없음,"\8,000",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002794
Curved Space,Steam,https://image.directg.net/upload/product/goods_1622000451_simg.jpg,"\20,500",3%,"\19,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002664
Legend of Mana,Steam,https://image.directg.net/upload/product/goods_1667365553_simg.jpg,"\34,800",할인 없음,"\34,800",롤플레잉,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003796
Out of Line,Steam,https://image.directg.net/upload/product/goods_1624413911_simg.jpg,가격 정보 없음,할인 없음,가격 정보 없음,퍼즐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002787
Roguebook,Steam,https://image.directg.net/upload/product/goods_1623815944_simg.jpg,"\26,000",11%,"\23,100",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002780
Roguebook - Heroes Skins Pack,Steam,https://image.directg.net/upload/product/goods_1625188707_simg.jpg,"\6,500",15%,"\5,500",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002795
Red Solstice 2: Survivors,Steam,https://image.directg.net/upload/product/goods_1622514056_simg.jpg,"\16,500",7%,"\15,400",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002742
Prison Architect - Second Chances,Steam,https://image.directg.net/upload/product/goods_1623745410_simg.jpg,"\7,000",11%,"\6,200",시뮬레이션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002777
Dead by Daylight - Escape Expansion Pack,Steam,https://image.directg.net/upload/product/goods_1753262075_simg.jpg,"\26,200",50%,"\13,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005595
Dead by Daylight - Resident Evil Chapter,Steam,https://image.directg.net/upload/product/goods_1753334570_simg.jpg,"\12,500",30%,"\8,700",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005603
Dead by Daylight - Terror Expansion Pack,Steam,https://image.directg.net/upload/product/goods_1753336477_simg.jpg,"\26,200",50%,"\13,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005608
Dark Deity,Steam,https://image.directg.net/upload/product/goods_1680500710_simg.jpg,"\27,000",8%,"\24,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004098
Minute of Islands,Steam,https://image.directg.net/upload/product/goods_1622009310_simg.jpg,"\20,500",3%,"\19,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002723
Beasts of Maravilla Island,Steam,https://image.directg.net/upload/product/goods_1626413541_simg.jpg,"\10,500",7%,"\9,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002819
Sid Meier's Civilization VI Anthology Upgrade,Epic Games,https://image.directg.net/upload/product/goods_1623471832_simg.jpg,"\55,900",4%,"\53,900",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002761
Sid Meier's Civilization VI Anthology,Epic Games,https://image.directg.net/upload/product/goods_1623471588_simg.jpg,"\109,000",4%,"\104,500",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002762
Sid Meier's Civilization VI Anthology(Steam),Steam,https://image.directg.net/upload/product/goods_1623471602_simg.jpg,"\109,000",4%,"\104,500",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002763
GUILTY GEAR -STRIVE- Standard Edition,Steam,https://image.directg.net/upload/product/goods_1660100292_simg.jpg,"\39,900",6%,"\37,500",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002533
DRIFT CE,Steam,https://image.directg.net/upload/product/goods_1623994578_simg.jpg,"\31,000",10%,"\27,800",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002546
Livestream: Escape from Hotel Izanami,Steam,https://image.directg.net/upload/product/goods_1732497581_simg.jpg,"\20,500",할인 없음,"\20,500",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004346
GUILTY GEAR -STRIVE- Season Pass 1,Steam,https://image.directg.net/upload/product/goods_1660038940_simg.jpg,가격 정보 없음,할인 없음,가격 정보 없음,액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003590
Open Country,Steam,https://image.directg.net/upload/product/goods_1621998799_simg.jpg,"\15,000",1%,"\14,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002718
Edge Of Eternity,Steam,https://image.directg.net/upload/product/goods_1647250128_simg.jpg,"\31,000",15%,"\26,400",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003274
Edge Of Eternity - Artbook,Steam,https://image.directg.net/upload/product/goods_1646987182_simg.jpg,"\5,500",11%,"\4,900",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003275
Edge Of Eternity - Goodies Pack,Steam,https://image.directg.net/upload/product/goods_1647245506_simg.jpg,"\4,400",11%,"\3,900",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003276
Edge Of Eternity - OST,Steam,https://image.directg.net/upload/product/goods_1646987485_simg.jpg,"\7,500",12%,"\6,600",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003277
Edge Of Eternity - War Nekaroo Skin,Steam,https://image.directg.net/upload/product/goods_1646987642_simg.jpg,"\1,100",9%,"\1,000",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003278
Edge Of Eternity - Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1646988047_simg.jpg,"\42,100",15%,"\35,800",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003279
Ynglet,Steam,https://image.directg.net/upload/product/goods_1739417261_simg.jpg,"\8,900",13%,"\7,700",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005224
Sniper Ghost Warrior Contracts 2,Steam,https://image.directg.net/upload/product/goods_1620814073_simg.jpg,"\41,000",3%,"\39,800",슈팅/FPS,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002698
Sniper Ghost Warrior Contracts 2 Deluxe Arsenal Edition,Steam,https://image.directg.net/upload/product/goods_1620815102_simg.jpg,"\51,000",2%,"\49,800",슈팅/FPS,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002699
Last Kids on Earth and the Staff of Doom,Steam,https://image.directg.net/upload/product/goods_1622441435_simg.jpg,"\31,000",8%,"\28,600",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002740
Hearts of Iron IV: Eastern Front Music Pack,Steam,https://image.directg.net/upload/product/goods_1622771078_simg.jpg,"\5,600",11%,"\5,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002747
Hearts of Iron IV: Eastern Front Planes Pack,Steam,https://image.directg.net/upload/product/goods_1622771154_simg.jpg,"\7,000",11%,"\6,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002748
Wing of Darkness,Steam,https://image.directg.net/upload/product/goods_1748307732_simg.jpg,"\34,800",할인 없음,"\34,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005438
Necromunda: Hired Gun,Steam,https://image.directg.net/upload/product/goods_1625530725_simg.jpg,"\44,800",할인 없음,"\44,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002796
DreamWorks Spirit Lucky's Big Adventure,Steam,https://image.directg.net/upload/product/goods_1622001083_simg.jpg,"\31,000",8%,"\28,600",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002719
Ghosts 'n Goblins Resurrection,Steam,https://image.directg.net/upload/product/goods_1622517020_simg.jpg,"\33,400",7%,"\31,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002744
Conan Exiles - Complete Edition,Steam,https://image.directg.net/upload/product/goods_1666318924_simg.jpg,"\163,300",15%,"\139,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002764
Conan Exiles: Isle of Siptah,Steam,https://image.directg.net/upload/product/goods_1600320238_simg.jpg,"\21,000",6%,"\19,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002356
Conan Exiles - Isle of Siptah Edition,Steam,https://image.directg.net/upload/product/goods_1600320959_simg.jpg,"\54,700",9%,"\49,900",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002357
EARTH DEFENSE FORCE: WORLD BROTHERS,Steam,https://image.directg.net/upload/product/goods_1621488993_simg.jpg,"\42,400",할인 없음,"\42,400",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002702
Warhammer Age of Sigmar: Storm Ground,Steam,https://image.directg.net/upload/product/goods_1622086086_simg.jpg,"\22,800",할인 없음,"\22,800",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002722
Cities: Skylines - Content Creator Pack: Train Stations,Steam,https://image.directg.net/upload/product/goods_1622105747_simg.jpg,"\5,600",11%,"\5,000",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002737
King of Seas,Steam,https://image.directg.net/upload/product/goods_1656063062_simg.jpg,"\26,000",4%,"\25,000",액션/RPG,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003458
Biomutant,Steam,https://image.directg.net/upload/product/goods_1616476196_simg.jpg,"\41,000",3%,"\39,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002591
Shin Megami Tensei III Nocturne HD Remaster,Steam,https://image.directg.net/upload/product/goods_1617242151_simg.jpg,"\49,800",16%,"\42,000",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002614
Shin Megami Tensei III Nocturne HD Remaster Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1620351699_simg.jpg,"\74,800",17%,"\62,000",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002615
Port Royale 4 - Buccaneers,Steam,https://image.directg.net/upload/product/goods_1620805350_simg.jpg,"\4,700",17%,"\3,900",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002697
Cities: Skylines - Content Creator Pack: Bridges & Piers,Steam,https://image.directg.net/upload/product/goods_1622105102_simg.jpg,"\5,600",11%,"\5,000",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002734
Cities: Skylines - Rail Hawk Radio,Steam,https://image.directg.net/upload/product/goods_1622106027_simg.jpg,"\4,500",9%,"\4,100",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002738
Cities: Skylines - Sunny Breeze Radio,Steam,https://image.directg.net/upload/product/goods_1622106273_simg.jpg,"\4,500",9%,"\4,100",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002739
"Northgard - Ratatoskr, Clan of the Squirrel",Steam,https://image.directg.net/upload/product/goods_1625715222_simg.jpg,"\5,600",11%,"\5,000",시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002802
Just Die Already,Steam,https://image.directg.net/upload/product/goods_1649040455_simg.jpg,"\15,500",10%,"\14,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002703
Imperator: Rome - Centurion Bundle,Steam,https://image.directg.net/upload/product/goods_1621566733_simg.jpg,"\49,600",9%,"\45,000",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002716
Aerial_Knight's Never Yield,Steam,https://image.directg.net/upload/product/goods_1677809078_simg.jpg,"\13,500",13%,"\11,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004021
The Wild at Heart,Steam,https://image.directg.net/upload/product/goods_1671778100_simg.jpg,"\26,000",5%,"\24,800",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003883
Elite Dangerous: Odyssey,Steam,https://image.directg.net/upload/product/goods_1696410356_simg.jpg,"\16,500",7%,"\15,400",시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004395
Mayhem in Single Valley,Steam,https://image.directg.net/upload/product/goods_1629184718_simg.jpg,"\16,500",7%,"\15,400",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002946
SnowRunner,Steam,https://image.directg.net/upload/product/goods_1621221386_simg.jpg,가격 정보 없음,할인 없음,가격 정보 없음,액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002704
GetsuFumaDen: Undying Moon Standard Edition,Steam,https://image.directg.net/upload/product/goods_1645077532_simg.jpg,"\26,500",할인 없음,"\26,500",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002756
Lost Ruins,Steam,https://image.directg.net/upload/product/goods_1649417236_simg.jpg,"\21,500",8%,"\19,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003322
DEATHLOOP,Steam,https://image.directg.net/upload/product/goods_1727331589_simg.jpg,"\67,000",13%,"\58,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004922
DEATHLOOP Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1727331766_simg.jpg,가격 정보 없음,할인 없음,가격 정보 없음,액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004946
Railway Empire - Japan,Steam,https://image.directg.net/upload/product/goods_1620011800_simg.jpg,"\15,300",16%,"\12,800",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002682
Railway Empire - Complete Collection + Japan,Steam,https://image.directg.net/upload/product/goods_1620279644_simg.jpg,"\58,600",15%,"\49,800",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002683
Biohazard Village(Resident Evil),Steam,https://image.directg.net/upload/product/goods_1618817750_simg.jpg,"\46,800",할인 없음,"\46,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002668
7Days Origins,Steam,https://image.directg.net/upload/product/goods_1695027816_simg.jpg,"\9,500",할인 없음,"\9,500",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004363
Partisans 1941 - Back Into Battle,Steam,https://image.directg.net/upload/product/goods_1652773912_simg.jpg,"\11,500",14%,"\9,900",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003385
R-Type Final 2,Steam,https://image.directg.net/upload/product/goods_1663740427_simg.jpg,"\44,000",5%,"\41,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003680
Insurmountable,Steam,https://image.directg.net/upload/product/goods_1650597111_simg.jpg,"\27,000",8%,"\24,800",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003340
Total War: ROME REMASTERED,Steam,https://image.directg.net/upload/product/goods_1619587984_simg.jpg,"\30,000",17%,"\25,000",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002680
Clan O'Conall and the Crown of the Stag,Steam,https://image.directg.net/upload/product/goods_1618196261_simg.jpg,"\8,500",할인 없음,"\8,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002654
