게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Date Everything! - Lavish Edition,$34.99,$28.69,https://www.greenmangaming.com/games/date-everything-lavish-edition-pc/,-18,0,Green Man Gaming,https://images.greenmangaming.com/30c57ca956e945bebc29032b9dfac819/2b004966f5a34377ad3c39d669b5e26e.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
REMATCH,$29.99,$26.39,https://www.greenmangaming.com/games/rematch-pc/,-12,0,Green Man Gaming,https://images.greenmangaming.com/1ffe78a6a06842d996c5bdc9ae54e729/70e92a49586d4bb5b705b521d0079772.jpg,"Action, Indie, Sports",
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Fallout 4 GOTY Edition,$39.99,$13.60,https://www.greenmangaming.com/games/fallout-4-goty-edition-pc/,-66,0,Green Man Gaming,https://images.greenmangaming.com/e11141e7339e411ab8c6e140bdf46023/ac028e3f5946460fb21acce428510f65.jpg,,
Forza Horizon 5: Premium Edition,$99.99,$99.99,https://www.greenmangaming.com/games/forza-horizon-5-premium-edition-xbox/,0,0,Green Man Gaming,https://images.greenmangaming.com/118f761d050e45a9847909466ea7c882/1eb758b8f91e4eb284bfa739336ca354.jpg,,
Destiny 2: The Edge of Fate,$39.99,$33.99,https://www.greenmangaming.com/games/destiny-2-the-edge-of-fate-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/cd9875e1a4aa4dbd8b3d4254799039be/70145d4e7694474cb4bef941cc89ec1c.jpg,"Action, Adventure, Free To Play",15
Farming Simulator 25: Highlands Fishing Edition,$56.92,$42.69,https://www.greenmangaming.com/games/farming-simulator-25-highlands-fishing-edition-pc/,-25,0,Green Man Gaming,https://images.greenmangaming.com/9aa76abc623b463e9095fb1f7a86b0c7/8bcc1ad4d27a49eda741dff8b3049914.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Noob - The Factionless,$29.99,$12.00,https://www.greenmangaming.com/games/noob-les-sans-factions-pc/,-60,0,Green Man Gaming,https://images.greenmangaming.com/a412f2724c03484192fc3e135f1c8279/af3d5b347f6e4e998408d8d7a67b7d20.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Curse of the Sea Rats,$19.99,$5.48,https://www.greenmangaming.com/games/curse-of-the-sea-rats-pc/,-73,0,Green Man Gaming,https://images.greenmangaming.com/0d8cc17bacad47fb8a838e7f9238d01d/c48116b20fc141ce943a1d1135bf9cad.jpg,,
Indiana Jones and the Great Circle,$69.99,$47.59,https://www.greenmangaming.com/games/indiana-jones-and-the-great-circle-pc/,-32,0,Green Man Gaming,https://images.greenmangaming.com/cbf3240bd84a470dabd8a18546415c71/1dec6da7b953420a8b2b01d017fb8b29.jpg,"Action, Adventure",19
Car Mechanic Simulator 2015 Pack,$21.98,$21.98,https://www.greenmangaming.com/games/car-mechanic-simulator-2015-pack/,0,0,Green Man Gaming,https://images.greenmangaming.com/8aff9e88617f40a487c29e2a535b7afe/4cf9ca0987a946538821df361811243e.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
DOOM Eternal - Deluxe Edition,$69.99,$69.99,https://www.greenmangaming.com/games/doom-eternal-deluxe-edition-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/5b9d71112937479b999e6926255422e5/7f97805ec02c4ca8ac21a642b23ef629.jpg,,
Wantless : Solace at World’s End,$17.99,$17.99,https://www.greenmangaming.com/games/wantless-solace-at-worlds-end-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/df3f60b83a09413e8638ed3f13431132/7788efc4bf69426cb7de1ea9eb9d0ac1.jpg,,
ELDEN RING Shadow of the Erdtree Edition,$79.99,$73.59,https://www.greenmangaming.com/games/elden-ring-shadow-of-the-erdtree-edition-pc/,-8,0,Green Man Gaming,https://images.greenmangaming.com/f597a3bb87734eb68747e0a3d15d26e0/c5b1dffef92c4f69945bf01c0b9c5bd4.jpg,,
Achilles: Survivor,$4.99,$4.99,https://www.greenmangaming.com/games/achilles-survivor-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/84d11545dc8d4cc9bc8447ade58273b2/117e4994c07f496eb9c6467686967aaf.jpg,"Action, Adventure",
"Warhammer 40,000: Darktide - Imperial Edition",$59.99,$21.00,https://www.greenmangaming.com/games/warhammer-40000-darktide-imperial-edition-pc/,-65,0,Green Man Gaming,https://images.greenmangaming.com/fb762c00fe07499e80e5f4855c26caa5/7b8ab610a064423d9a8ffce9228d6819.jpg,,
Red Dead Redemption 2,$59.99,$13.50,https://www.greenmangaming.com/games/red-dead-redemption-2-pc/,-77,0,Green Man Gaming,https://images.greenmangaming.com/d5811458e1394d6d84ea09378631b0b7/85a9edaf1e0640b6826f020a92a9c0b0.jpg,"Action, Adventure",18
Worshippers of Cthulhu,$24.99,$24.99,https://www.greenmangaming.com/games/worshippers-of-cthulhu-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/0fb15c91420a4defbe5886a7683a7ceb/8670e2ea02a74413913d4e6b56974f4c.jpg,"Simulation, Strategy",
Brothers In Arms: Road to Hill 30,$9.99,$9.99,https://www.greenmangaming.com/games/brothers-in-arms-road-to-hill-30-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/438032e3b8814711b847d798baef84a3/17ae5da29999476bbb0a0c9d51b5c594.jpg,,
HELLCARD,,,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,"Adventure, Indie, RPG, Strategy",
Sid Meier's Civilization® VII,$69.99,$53.54,https://www.greenmangaming.com/games/sid-meiers-civilization-vii-pc/,-24,0,Green Man Gaming,https://images.greenmangaming.com/ff39cd036f0c4d00a0d57ed81c79fbac/b3690b537e2840bc935aeab5256593a1.jpg,,
Stellaris: Season 09,$44.99,$40.49,https://www.greenmangaming.com/games/stellaris-season-09-pc/,-10,0,Green Man Gaming,https://images.greenmangaming.com/80842119682b4228a6b99df615e99625/7faa2cb9d1004391b776f9a03e339447.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Terrarium Land,$9.99,$9.99,https://www.greenmangaming.com/games/terrarium-land/,0,0,Green Man Gaming,https://images.greenmangaming.com/9702a8e2b8214a4698116f64d9942948/e1242ccc1be54af3957417c1a6769d7f.jpg,,
