게임 이름,원가,할인가,사이트 URL,할인율,유저 평점,유저 리뷰,플랫폼 이름,이미지,장르,연령 등급
Eiyuden Chronicle: Hundred Heroes - Pioneer Pack,"\3,400","\3,400",https://directg.net/game/game_page.html?product_code=50004743,0%,,,Steam,https://image.directg.net/upload/product/goods_1716514693_simg.jpg,롤플레잉,12세 이용가
Dead Island 2 Pulp Edition,"\50,700","\48,000",https://directg.net/game/game_page.html?product_code=50004714,5%,,,Steam,https://image.directg.net/upload/product/goods_1714637374_simg.jpg,액션,19세 이용가
BUNNY GARDEN,"\27,000","\27,000",https://directg.net/game/game_page.html?product_code=50004858,0%,,,Steam,https://image.directg.net/upload/product/goods_1721871210_simg.jpg,어드벤쳐,19세 이용가
Infection Free Zone,"\26,000","\23,800",https://directg.net/game/game_page.html?product_code=50004857,8%,,,Steam,https://image.directg.net/upload/product/goods_1721800030_simg.jpg,시뮬레이션,12세 이용가
Goons: Legends & Mayhem,"\21,000","\19,800",https://directg.net/game/game_page.html?product_code=50004669,6%,,,Steam,https://image.directg.net/upload/product/goods_1713147038_simg.jpg,스포츠,전체 이용가
Hearts of Iron IV - Starter Edition,"\66,000","\59,800",https://directg.net/game/game_page.html?product_code=50004712,9%,,,Steam,https://image.directg.net/upload/product/goods_1714469137_simg.jpg,전략,12세 이용가
Gigantic: Rampage Edition,"\13,500","\13,500",https://directg.net/game/game_page.html?product_code=50004732,0%,,,Steam,https://image.directg.net/upload/product/goods_1715848281_simg.jpg,액션,전체 이용가
Sons of Valhalla,"\19,900","\19,900",https://directg.net/game/game_page.html?product_code=50004664,0%,,,Steam,https://image.directg.net/upload/product/goods_1712025611_simg.jpg,전략/시뮬레이션,15세 이용가
OnePunch,"\6,000","\6,000",https://directg.net/game/game_page.html?product_code=50005144,0%,,,Steam,https://image.directg.net/upload/product/goods_1735263959_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising - Additional Character (Vane),"\9,500","\8,500",https://directg.net/game/game_page.html?product_code=50005271,11%,,,Steam,https://image.directg.net/upload/product/goods_1740467840_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising - Premium Avatar Set (Shadowverse),"\10,800","\9,900",https://directg.net/game/game_page.html?product_code=50005283,8%,,,Steam,https://image.directg.net/upload/product/goods_1740474300_simg.jpg,액션,12세 이용가
Nightmare: The Lunatic,"\18,500","\18,500",https://directg.net/game/game_page.html?product_code=50005140,0%,,,Steam,https://image.directg.net/upload/product/goods_1735261486_simg.jpg,액션,12세 이용가
Aquarist,"\17,500","\15,400",https://directg.net/game/game_page.html?product_code=50004706,12%,,,Steam,https://image.directg.net/upload/product/goods_1714444038_simg.jpg,시뮬레이션,전체 이용가
Pepper Grinder,"\16,500","\15,800",https://directg.net/game/game_page.html?product_code=50004660,4%,,,Steam,https://image.directg.net/upload/product/goods_1711524170_simg.jpg,액션,전체 이용가
The Magical Mixture Mill,"\21,500","\21,500",https://directg.net/game/game_page.html?product_code=50004798,0%,,,Steam,https://image.directg.net/upload/product/goods_1718782983_simg.jpg,시뮬레이션,12세 이용가
Millennia,"\44,000","\39,000",https://directg.net/game/game_page.html?product_code=50004617,11%,,,Steam,https://image.directg.net/upload/product/goods_1710210889_simg.jpg,전략/시뮬레이션,12세 이용가
Millennia: Premium Edition,"\66,000","\59,000",https://directg.net/game/game_page.html?product_code=50004618,11%,,,Steam,https://image.directg.net/upload/product/goods_1710211752_simg.jpg,전략/시뮬레이션,12세 이용가
Outpost: Infinity Siege,"\27,000","\27,000",https://directg.net/game/game_page.html?product_code=50004656,0%,,,Steam,https://image.directg.net/upload/product/goods_1711502033_simg.jpg,액션,15세 이용가
Outpost - Vanguard Edition,"\42,000","\42,000",https://directg.net/game/game_page.html?product_code=50004657,0%,,,Steam,https://image.directg.net/upload/product/goods_1711502286_simg.jpg,액션,15세 이용가
Wobbly Life,"\21,000","\18,700",https://directg.net/game/game_page.html?product_code=50005039,11%,,,Steam,https://image.directg.net/upload/product/goods_1730947080_simg.jpg,어드벤쳐,전체 이용가
Cities: Skylines II - Deluxe Relax Station,"\5,600","\5,000",https://directg.net/game/game_page.html?product_code=50004650,11%,,,Steam,https://image.directg.net/upload/product/goods_1711343866_simg.jpg,시뮬레이션,전체 이용가
Dragon's Dogma 2,"\79,800","\79,000",https://directg.net/game/game_page.html?product_code=50004529,1%,,,Steam,https://image.directg.net/upload/product/goods_1703819348_simg.jpg,롤플레잉,19세 이용가
Dragon's Dogma 2 Deluxe Edition,"\89,800","\89,000",https://directg.net/game/game_page.html?product_code=50004530,1%,,,Steam,https://image.directg.net/upload/product/goods_1703820242_simg.jpg,롤플레잉,19세 이용가
Horizon Forbidden West Complete Edition,"\62,800","\59,800",https://directg.net/game/game_page.html?product_code=50004570,5%,,,Steam,https://image.directg.net/upload/product/goods_1707181511_simg.jpg,액션,19세 이용가
Tchia,"\32,000","\29,800",https://directg.net/game/game_page.html?product_code=50004652,7%,,,Steam,https://image.directg.net/upload/product/goods_1711346195_simg.jpg,어드벤쳐,12세 이용가
Tchia: Oléti Edition,"\37,500","\34,800",https://directg.net/game/game_page.html?product_code=50004653,7%,,,Steam,https://image.directg.net/upload/product/goods_1711346420_simg.jpg,어드벤쳐,12세 이용가
Alone in the Dark (2024),"\42,000","\42,000",https://directg.net/game/game_page.html?product_code=50004639,0%,,,Steam,https://image.directg.net/upload/product/goods_1710812293_simg.jpg,어드벤쳐,19세 이용가
Alone in the Dark (2024) Deluxe Edition,"\53,700","\53,700",https://directg.net/game/game_page.html?product_code=50004641,0%,,,Steam,https://image.directg.net/upload/product/goods_1710828168_simg.jpg,어드벤쳐,19세 이용가
Outcast - A New Beginning,"\42,000","\42,000",https://directg.net/game/game_page.html?product_code=50004552,0%,,,Steam,https://image.directg.net/upload/product/goods_1705904708_simg.jpg,어드벤쳐,15세 이용가
Ys X: Nordics Uncut Version,"\79,200","\55,100",https://directg.net/game/game_page.html?product_code=50004559,30%,,,Steam,https://image.directg.net/upload/product/goods_1706598672_simg.jpg,롤플레잉,19세 이용가
Ys X: Nordics Uncut Version Digital Deluxe Edition,"\114,000","\79,300",https://directg.net/game/game_page.html?product_code=50004560,30%,,,Steam,https://image.directg.net/upload/product/goods_1710294982_simg.jpg,롤플레잉,19세 이용가
STAR WARS: Battlefront Classic Collection,"\36,700","\36,700",https://directg.net/game/game_page.html?product_code=50004598,0%,,,Steam,https://image.directg.net/upload/product/goods_1708995740_simg.jpg,액션,12세 이용가
Granblue Fantasy: Relink - Emote Expansion Set: Let's Chat,"\1,500","\1,300",https://directg.net/game/game_page.html?product_code=50004628,13%,,,Steam,https://image.directg.net/upload/product/goods_1710398000_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Weapon Upgrade Items Pack 1,"\2,500","\2,200",https://directg.net/game/game_page.html?product_code=50004629,12%,,,Steam,https://image.directg.net/upload/product/goods_1710398166_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Weapon Uncap Items Pack 1,"\2,500","\2,200",https://directg.net/game/game_page.html?product_code=50004630,12%,,,Steam,https://image.directg.net/upload/product/goods_1710398425_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Self-Improvement Pack 1,"\2,500","\2,200",https://directg.net/game/game_page.html?product_code=50004631,12%,,,Steam,https://image.directg.net/upload/product/goods_1710398642_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Sigil Upgrade Items Pack 1,"\2,500","\2,200",https://directg.net/game/game_page.html?product_code=50004632,12%,,,Steam,https://image.directg.net/upload/product/goods_1710398722_simg.jpg,액션/RPG,12세 이용가
DJMAX RESPECT V - Falcom PACK,"\14,800","\13,500",https://directg.net/game/game_page.html?product_code=50004634,9%,,,Steam,https://image.directg.net/upload/product/goods_1710408240_simg.jpg,시뮬레이션,15세 이용가
Ys X: Nordics Uncut Version - DLC Pack,"\49,700","\34,600",https://directg.net/game/game_page.html?product_code=50004637,30%,,,Steam,https://image.directg.net/upload/product/goods_1710729536_simg.jpg,롤플레잉,19세 이용가
Dead by Daylight - All Things Wicked Chapter,"\8,500","\5,100",https://directg.net/game/game_page.html?product_code=50005588,40%,,,Steam,https://image.directg.net/upload/product/goods_1753255647_simg.jpg,액션,19세 이용가
Jurassic World Evolution 2: Secret Species Pack,"\8,500","\8,000",https://directg.net/game/game_page.html?product_code=50004621,6%,,,Steam,https://image.directg.net/upload/product/goods_1710310660_simg.jpg,전략,12세 이용가
Contra: Operation Galuga,"\57,100","\55,000",https://directg.net/game/game_page.html?product_code=50004616,4%,,,Steam,https://image.directg.net/upload/product/goods_1710206553_simg.jpg,액션,15세 이용가
Subterrain: Mines of Titan,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50004620,8%,,,Steam,https://image.directg.net/upload/product/goods_1710309355_simg.jpg,롤플레잉,15세 이용가
Persona 3 Reload: Expansion Pass,"\34,800","\29,800",https://directg.net/game/game_page.html?product_code=50004622,14%,,,Steam,https://image.directg.net/upload/product/goods_1717376329_simg.jpg,롤플레잉,15세 이용가
Granblue Fantasy Versus: Rising - Character Costume: Lady Serenity (Katalina),"\5,800","\5,000",https://directg.net/game/game_page.html?product_code=50005279,14%,,,Steam,https://image.directg.net/upload/product/goods_1740473152_simg.jpg,액션,12세 이용가
WWE 2K24,"\65,000","\55,000",https://directg.net/game/game_page.html?product_code=50004562,15%,,,Steam,https://image.directg.net/upload/product/goods_1706685195_simg.jpg,스포츠,15세 이용가
WWE 2K24 Deluxe Edition,"\108,000","\91,800",https://directg.net/game/game_page.html?product_code=50004563,15%,,,Steam,https://image.directg.net/upload/product/goods_1706685734_simg.jpg,스포츠,15세 이용가
WWE 2K24 40 Years of Wrestlemania,"\134,800","\114,500",https://directg.net/game/game_page.html?product_code=50004564,15%,,,Steam,https://image.directg.net/upload/product/goods_1706686103_simg.jpg,스포츠,15세 이용가
Hearts of Iron IV: Trial of Allegiance,"\17,000","\15,400",https://directg.net/game/game_page.html?product_code=50004568,9%,,,Steam,https://image.directg.net/upload/product/goods_1706846687_simg.jpg,전략,12세 이용가
Taxi Life: A City Driving Simulator,"\32,000","\25,000",https://directg.net/game/game_page.html?product_code=50004578,22%,,,Steam,https://image.directg.net/upload/product/goods_1707287821_simg.jpg,시뮬레이션,전체 이용가
Taxi Life: A City Driving Simulator - Supporter Edition,"\37,500","\29,000",https://directg.net/game/game_page.html?product_code=50004579,23%,,,Steam,https://image.directg.net/upload/product/goods_1709859878_simg.jpg,시뮬레이션,전체 이용가
Wizard with a Gun - Bounty Hunter Pack,"\7,800","\7,400",https://directg.net/game/game_page.html?product_code=50004619,5%,,,Steam,https://image.directg.net/upload/product/goods_1710236503_simg.jpg,액션,12세 이용가
REVEIL,"\24,000","\22,000",https://directg.net/game/game_page.html?product_code=50004623,8%,,,Steam,https://image.directg.net/upload/product/goods_1710382280_simg.jpg,어드벤쳐,15세 이용가
REVEIL - Funhouse Pack,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50004624,10%,,,Steam,https://image.directg.net/upload/product/goods_1710382499_simg.jpg,어드벤쳐,15세 이용가
Classified: France '44,"\40,500","\38,000",https://directg.net/game/game_page.html?product_code=50004580,6%,,,Steam,https://image.directg.net/upload/product/goods_1707362651_simg.jpg,전략,15세 이용가
Classified: France '44 Deluxe Edition,"\46,000","\43,000",https://directg.net/game/game_page.html?product_code=50004581,7%,,,Steam,https://image.directg.net/upload/product/goods_1707368733_simg.jpg,전략,15세 이용가
Classified: France '44 : The Overlord Edition,"\57,000","\53,000",https://directg.net/game/game_page.html?product_code=50004582,7%,,,Steam,https://image.directg.net/upload/product/goods_1707369962_simg.jpg,전략,15세 이용가
Expeditions: A MudRunner Game,"\44,800","\44,800",https://directg.net/game/game_page.html?product_code=50004602,0%,,,Steam,https://image.directg.net/upload/product/goods_1709609322_simg.jpg,시뮬레이션,전체 이용가
Expeditions: A MudRunner Game - Year 1 Edition,"\69,800","\69,800",https://directg.net/game/game_page.html?product_code=50004603,0%,,,Steam,https://image.directg.net/upload/product/goods_1709619678_simg.jpg,시뮬레이션,전체 이용가
Expeditions: A MudRunner Game - Supreme Edition,"\79,800","\79,800",https://directg.net/game/game_page.html?product_code=50004604,0%,,,Steam,https://image.directg.net/upload/product/goods_1709620204_simg.jpg,시뮬레이션,전체 이용가
Crusader Kings III: Legends of the Dead,"\22,000","\19,800",https://directg.net/game/game_page.html?product_code=50004601,10%,,,Steam,https://image.directg.net/upload/product/goods_1709543114_simg.jpg,전략,19세 이용가
Maid of the Dead,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50005526,8%,,,Steam,https://image.directg.net/upload/product/goods_1750741102_simg.jpg,어드벤쳐,19세 이용가
Welcome to ParadiZe,"\32,000","\25,500",https://directg.net/game/game_page.html?product_code=50004550,20%,,,Steam,https://image.directg.net/upload/product/goods_1705560253_simg.jpg,액션,19세 이용가
Welcome to ParadiZe - Supporter Edition,"\42,000","\33,500",https://directg.net/game/game_page.html?product_code=50004551,20%,,,Steam,https://image.directg.net/upload/product/goods_1705886015_simg.jpg,액션,19세 이용가
Brothers: A Tale of Two Sons Remake,"\20,400","\20,400",https://directg.net/game/game_page.html?product_code=50004587,0%,,,Steam,https://image.directg.net/upload/product/goods_1708394685_simg.jpg,어드벤쳐,19세 이용가
Age of Wonders 4: Primal Fury,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50004597,10%,,,Steam,https://image.directg.net/upload/product/goods_1708935983_simg.jpg,전략,15세 이용가
Garden Life: A Cozy Simulator,"\27,000","\25,000",https://directg.net/game/game_page.html?product_code=50004592,7%,,,Steam,https://image.directg.net/upload/product/goods_1708591953_simg.jpg,시뮬레이션,전체 이용가
Garden Life: A Cozy Simulator - Supporter Edition,"\32,000","\29,000",https://directg.net/game/game_page.html?product_code=50004593,9%,,,Steam,https://image.directg.net/upload/product/goods_1708593485_simg.jpg,시뮬레이션,전체 이용가
Garden Life - Eco-friendly Decoration Set,"\3,400","\2,900",https://directg.net/game/game_page.html?product_code=50004594,15%,,,Steam,https://image.directg.net/upload/product/goods_1708593708_simg.jpg,시뮬레이션,전체 이용가
Garden Life - Supporter Pack,"\7,800","\6,900",https://directg.net/game/game_page.html?product_code=50004595,12%,,,Steam,https://image.directg.net/upload/product/goods_1708593774_simg.jpg,시뮬레이션,전체 이용가
Inkulinati,"\33,000","\30,800",https://directg.net/game/game_page.html?product_code=50003948,7%,,,Steam,https://image.directg.net/upload/product/goods_1708922715_simg.jpg,전략,전체 이용가
Rail Route,"\35,000","\29,800",https://directg.net/game/game_page.html?product_code=50004577,15%,,,Steam,https://image.directg.net/upload/product/goods_1743740760_simg.jpg,시뮬레이션,전체 이용가
CorpoNation: The Sorting Process,"\14,500","\13,200",https://directg.net/game/game_page.html?product_code=50004909,9%,,,Steam,https://image.directg.net/upload/product/goods_1725427669_simg.jpg,시뮬레이션,12세 이용가
Last Epoch,"\37,500","\37,500",https://directg.net/game/game_page.html?product_code=50004467,0%,,,Steam,https://image.directg.net/upload/product/goods_1744940185_simg.jpg,액션/RPG,19세 이용가
Session: Skate Sim - Schoolyard,"\8,900","\7,900",https://directg.net/game/game_page.html?product_code=50004590,11%,,,Steam,https://image.directg.net/upload/product/goods_1708507830_simg.jpg,시뮬레이션,15세 이용가
Penny’s Big Breakaway,"\39,800","\37,800",https://directg.net/game/game_page.html?product_code=50005626,5%,,,Steam,https://image.directg.net/upload/product/goods_1753414701_simg.jpg,액션,전체 이용가
Balatro,"\16,500","\16,500",https://directg.net/game/game_page.html?product_code=50004812,0%,,,Steam,https://image.directg.net/upload/product/goods_1719904307_simg.jpg,캐주얼,15세 이용가
Europa Universalis IV: Sounds from the Community - Kairi Soundtrack Part III,"\5,600","\5,000",https://directg.net/game/game_page.html?product_code=50004588,11%,,,Steam,https://image.directg.net/upload/product/goods_1708421479_simg.jpg,전략,12세 이용가
Granblue Fantasy Versus: Rising - Additional Character (2B),"\9,500","\8,500",https://directg.net/game/game_page.html?product_code=50005264,11%,,,Steam,https://image.directg.net/upload/product/goods_1740448218_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising - Premium Avatar Set (Princess Connect! Re: Dive),"\14,500","\12,800",https://directg.net/game/game_page.html?product_code=50005282,12%,,,Steam,https://image.directg.net/upload/product/goods_1740474089_simg.jpg,액션,12세 이용가
Tomb Raider I-III Remastered Starring Lara Croft,"\32,000","\29,800",https://directg.net/game/game_page.html?product_code=50004549,7%,,,Steam,https://image.directg.net/upload/product/goods_1705472843_simg.jpg,액션,15세 이용가
Railway Empire 2 - Journey To The East,"\11,800","\11,800",https://directg.net/game/game_page.html?product_code=50004586,0%,,,Steam,https://image.directg.net/upload/product/goods_1708055569_simg.jpg,시뮬레이션,15세 이용가
Smalland: Survive the Wilds,"\37,500","\34,800",https://directg.net/game/game_page.html?product_code=50004108,7%,,,Steam,https://image.directg.net/upload/product/goods_1680749571_simg.jpg,액션/어드벤쳐,15세 이용가
Banishers: Ghosts of New Eden,"\58,000","\58,000",https://directg.net/game/game_page.html?product_code=50004556,0%,,,Steam,https://image.directg.net/upload/product/goods_1706078819_simg.jpg,액션,19세 이용가
Lysfanga: The Time Shift Warrior,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50004585,8%,,,Steam,https://image.directg.net/upload/product/goods_1707900491_simg.jpg,액션,12세 이용가
Airhead,"\20,500","\18,700",https://directg.net/game/game_page.html?product_code=50004584,9%,,,Steam,https://image.directg.net/upload/product/goods_1707805954_simg.jpg,어드벤쳐,전체 이용가
RESIDENT EVIL 4 / BIOHAZARD RE:4 Gold Edition,"\53,800","\48,000",https://directg.net/game/game_page.html?product_code=50004583,11%,,,Steam,https://image.directg.net/upload/product/goods_1707802615_simg.jpg,액션,19세 이용가
HELLDIVERS 2,"\44,800","\43,000",https://directg.net/game/game_page.html?product_code=50004472,4%,,,Steam,https://image.directg.net/upload/product/goods_1747907691_simg.jpg,액션,19세 이용가
HELLDIVERS 2 Super Citizen Edition,"\69,800","\66,000",https://directg.net/game/game_page.html?product_code=50004473,5%,,,Steam,https://image.directg.net/upload/product/goods_1700017370_simg.jpg,액션,19세 이용가
Persona 3 Reload,"\79,800","\71,800",https://directg.net/game/game_page.html?product_code=50004338,10%,,,Steam,https://image.directg.net/upload/product/goods_1693471253_simg.jpg,롤플레잉,15세 이용가
Persona 3 Reload Digital Deluxe Edition,"\89,800","\79,800",https://directg.net/game/game_page.html?product_code=50004339,11%,,,Steam,https://image.directg.net/upload/product/goods_1693472148_simg.jpg,롤플레잉,15세 이용가
Persona 3 Reload Digital Premium Edition,"\114,800","\99,800",https://directg.net/game/game_page.html?product_code=50004340,13%,,,Steam,https://image.directg.net/upload/product/goods_1693472446_simg.jpg,롤플레잉,15세 이용가
Granblue Fantasy: Relink - Upgrade pack,"\15,000","\13,200",https://directg.net/game/game_page.html?product_code=50004571,12%,,,Steam,https://image.directg.net/upload/product/goods_1707197259_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Color Pack 1,"\9,500","\8,500",https://directg.net/game/game_page.html?product_code=50004572,11%,,,Steam,https://image.directg.net/upload/product/goods_1707197404_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Color Pack 1/2/3,"\23,000","\19,800",https://directg.net/game/game_page.html?product_code=50004573,14%,,,Steam,https://image.directg.net/upload/product/goods_1707197553_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink,"\69,800","\63,800",https://directg.net/game/game_page.html?product_code=50005228,9%,,,Steam,https://image.directg.net/upload/product/goods_1739865559_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink Special Edition,"\89,800","\81,800",https://directg.net/game/game_page.html?product_code=50005229,9%,,,Steam,https://image.directg.net/upload/product/goods_1739865703_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Color Pack 2,"\9,500","\8,500",https://directg.net/game/game_page.html?product_code=50005232,11%,,,Steam,https://image.directg.net/upload/product/goods_1739866152_simg.jpg,액션/RPG,12세 이용가
Granblue Fantasy: Relink - Color Pack 3,"\9,500","\8,500",https://directg.net/game/game_page.html?product_code=50005233,11%,,,Steam,https://image.directg.net/upload/product/goods_1739866522_simg.jpg,액션/RPG,12세 이용가
Dead by Daylight - Alan Wake Chapter,"\5,500","\2,700",https://directg.net/game/game_page.html?product_code=50005586,51%,,,Steam,https://image.directg.net/upload/product/goods_1753253854_simg.jpg,액션,19세 이용가
SnowRunner - 4-Year Anniversary Edition,"\120,000","\120,000",https://directg.net/game/game_page.html?product_code=50004567,0%,,,Steam,https://image.directg.net/upload/product/goods_1706841383_simg.jpg,액션,전체 이용가
Like a Dragon: Infinite Wealth,"\79,800","\72,800",https://directg.net/game/game_page.html?product_code=50004370,9%,,,Steam,https://image.directg.net/upload/product/goods_1695288665_simg.jpg,액션,19세 이용가
Like a Dragon: Infinite Wealth Deluxe Edition,"\89,800","\81,800",https://directg.net/game/game_page.html?product_code=50004371,9%,,,Steam,https://image.directg.net/upload/product/goods_1695288909_simg.jpg,액션,19세 이용가
Like a Dragon: Infinite Wealth Ultimate Edition,"\104,800","\94,800",https://directg.net/game/game_page.html?product_code=50004372,10%,,,Steam,https://image.directg.net/upload/product/goods_1695289012_simg.jpg,액션,19세 이용가
UNDER NIGHT IN-BIRTH II Sys:Celes,"\69,800","\64,000",https://directg.net/game/game_page.html?product_code=50004491,8%,,,Steam,https://image.directg.net/upload/product/goods_1701308972_simg.jpg,액션,12세 이용가
UNDER NIGHT IN-BIRTH II Sys:Celes Deluxe Edition,"\94,800","\86,000",https://directg.net/game/game_page.html?product_code=50004492,9%,,,Steam,https://image.directg.net/upload/product/goods_1701309353_simg.jpg,액션,12세 이용가
Apollo Justice: Ace Attorney Trilogy,"\54,800","\49,800",https://directg.net/game/game_page.html?product_code=50004496,9%,,,Steam,https://image.directg.net/upload/product/goods_1701672231_simg.jpg,어드벤쳐,15세 이용가
Ace Attorney Anthology,"\69,800","\59,800",https://directg.net/game/game_page.html?product_code=50004773,14%,,,Steam,https://image.directg.net/upload/product/goods_1718086480_simg.jpg,어드벤쳐,15세 이용가
Enshrouded,"\31,000","\31,000",https://directg.net/game/game_page.html?product_code=50005394,0%,,,Steam,https://image.directg.net/upload/product/goods_1753151950_simg.jpg,액션/RPG,15세 이용가
Crusader Kings III Content Creator Pack: North African Attire,"\5,600","\5,000",https://directg.net/game/game_page.html?product_code=50004555,11%,,,Steam,https://image.directg.net/upload/product/goods_1706004915_simg.jpg,전략,19세 이용가
Turnip Boy Robs a Bank,"\16,500","\15,400",https://directg.net/game/game_page.html?product_code=50004548,7%,,,Steam,https://image.directg.net/upload/product/goods_1705469843_simg.jpg,액션/어드벤쳐,12세 이용가
Cult of the Lamb: Sinful Pack,"\5,600","\5,300",https://directg.net/game/game_page.html?product_code=50004547,5%,,,Steam,https://image.directg.net/upload/product/goods_1705467765_simg.jpg,액션,15세 이용가
House Builder,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50004707,8%,,,Steam,https://image.directg.net/upload/product/goods_1714444530_simg.jpg,시뮬레이션,전체 이용가
Granblue Fantasy Versus: Rising - Additional Character (Lucilius),"\5,800","\5,000",https://directg.net/game/game_page.html?product_code=50005270,14%,,,Steam,https://image.directg.net/upload/product/goods_1740466459_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising - Character Color set 3,"\1,200","\1,000",https://directg.net/game/game_page.html?product_code=50005276,17%,,,Steam,https://image.directg.net/upload/product/goods_1740471296_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising - Character Color set 4,"\1,200","\1,000",https://directg.net/game/game_page.html?product_code=50005277,17%,,,Steam,https://image.directg.net/upload/product/goods_1740471452_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising - Character Pass 1,"\27,800","\24,800",https://directg.net/game/game_page.html?product_code=50005280,11%,,,Steam,https://image.directg.net/upload/product/goods_1740473374_simg.jpg,액션,12세 이용가
Old World - Wonders and Dynasties,"\19,900","\19,900",https://directg.net/game/game_page.html?product_code=50004998,0%,,,Steam,https://image.directg.net/upload/product/goods_1729473563_simg.jpg,전략/시뮬레이션,12세 이용가
War Hospital,"\32,000","\27,500",https://directg.net/game/game_page.html?product_code=50004542,14%,,,Steam,https://image.directg.net/upload/product/goods_1704961884_simg.jpg,전략/시뮬레이션,19세 이용가
War Hospital Supporter Edition,"\42,900","\36,500",https://directg.net/game/game_page.html?product_code=50004543,15%,,,Steam,https://image.directg.net/upload/product/goods_1704962785_simg.jpg,전략/시뮬레이션,19세 이용가
Dead by Daylight - Gold Edition,"\73,500","\36,500",https://directg.net/game/game_page.html?product_code=50005597,50%,,,Steam,https://image.directg.net/upload/product/goods_1753322250_simg.jpg,액션,19세 이용가
Dead by Daylight - Macabre Tales Pack,"\21,500","\12,800",https://directg.net/game/game_page.html?product_code=50005599,40%,,,Steam,https://image.directg.net/upload/product/goods_1753323120_simg.jpg,액션,19세 이용가
Dead by Daylight - Maddening Darkness Pack,"\10,500","\6,300",https://directg.net/game/game_page.html?product_code=50005600,40%,,,Steam,https://image.directg.net/upload/product/goods_1753324533_simg.jpg,액션,19세 이용가
Dead by Daylight - Old Wounds Pack,"\21,500","\12,800",https://directg.net/game/game_page.html?product_code=50005602,40%,,,Steam,https://image.directg.net/upload/product/goods_1753327469_simg.jpg,액션,19세 이용가
Tools Up! Ultimate Edition,"\37,500","\33,000",https://directg.net/game/game_page.html?product_code=50004541,12%,,,Steam,https://image.directg.net/upload/product/goods_1704937146_simg.jpg,캐주얼,전체 이용가
Trinity Fusion,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50004739,8%,,,Steam,https://image.directg.net/upload/product/goods_1716253165_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising Deluxe Edition,"\85,600","\28,700",https://directg.net/game/game_page.html?product_code=50004569,66%,,,Steam,https://image.directg.net/upload/product/goods_1707106788_simg.jpg,액션,12세 이용가
CUSTOM MECH WARS,"\66,000","\66,000",https://directg.net/game/game_page.html?product_code=50004497,0%,,,Steam,https://image.directg.net/upload/product/goods_1701828712_simg.jpg,액션,12세 이용가
CUSTOM MECH WARS EARTH DEFENSE FORCE COLLAB EDITION,"\85,800","\85,800",https://directg.net/game/game_page.html?product_code=50004498,0%,,,Steam,https://image.directg.net/upload/product/goods_1701829142_simg.jpg,액션,12세 이용가
CUSTOM MECH WARS ULTIMATE EDITION,"\99,000","\99,000",https://directg.net/game/game_page.html?product_code=50004499,0%,,,Steam,https://image.directg.net/upload/product/goods_1701829589_simg.jpg,액션,12세 이용가
Ready or Not,"\53,000","\53,000",https://directg.net/game/game_page.html?product_code=50005527,0%,,,Steam,https://image.directg.net/upload/product/goods_1750741182_simg.jpg,슈팅/FPS,19세 이용가
Granblue Fantasy Versus: Rising - Character Color set 1,"\5,800","\5,000",https://directg.net/game/game_page.html?product_code=50005274,14%,,,Steam,https://image.directg.net/upload/product/goods_1740469381_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising,"\54,800","\18,700",https://directg.net/game/game_page.html?product_code=50004507,66%,,,Steam,https://image.directg.net/upload/product/goods_1702285769_simg.jpg,액션,12세 이용가
Granblue Fantasy Versus: Rising - Character Color set 2,"\5,800","\5,000",https://directg.net/game/game_page.html?product_code=50005275,14%,,,Steam,https://image.directg.net/upload/product/goods_1740470505_simg.jpg,액션,12세 이용가
Koumajou Remilia Ⅱ: Stranger's Requiem,"\29,800","\29,800",https://directg.net/game/game_page.html?product_code=50004509,0%,,,Steam,https://image.directg.net/upload/product/goods_1702361969_simg.jpg,액션,12세 이용가
