게임 이름,원가,할인가,사이트 URL,할인율,유저 평점,유저 리뷰,플랫폼 이름,이미지,장르,연령 등급
Devil May Cry 4 Special Edition,"\24,000","\22,000",https://directg.net/game/game_page.html?product_code=10001156,8%,,,Steam,https://image.directg.net/upload/product/goods_1477547862_simg.jpg,액션,19세 이용가
Europa Universalis IV: Sounds from the Community - Kairis Soundtrack,"\3,000","\2,800",https://directg.net/game/game_page.html?product_code=10001165,7%,,,Steam,https://image.directg.net/upload/product/goods_1477972153_simg.jpg,전략,12세 이용가
Tropico 5 - Espionage,"\9,500","\7,900",https://directg.net/game/game_page.html?product_code=10001161,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549575_simg.jpg,전략,12세 이용가
GUILTY GEAR XX ACCENT CORE PLUS R,"\16,000","\15,000",https://directg.net/game/game_page.html?product_code=10001158,6%,,,Steam,https://image.directg.net/upload/product/goods_1477539212_simg.jpg,액션,12세 이용가
The Evil Within Bundle,"\28,800","\27,500",https://directg.net/game/game_page.html?product_code=50005065,5%,,,Steam,https://image.directg.net/upload/product/goods_1731478041_simg.jpg,액션,19세 이용가
Magicka 2,"\17,000","\15,400",https://directg.net/game/game_page.html?product_code=10001157,9%,,,Steam,https://image.directg.net/upload/product/goods_1473402218_simg.jpg,액션,15세 이용가
Magicka 2 Deluxe Edition,"\28,000","\25,300",https://directg.net/game/game_page.html?product_code=10001159,10%,,,Steam,https://image.directg.net/upload/product/goods_1473402111_simg.jpg,액션,15세 이용가
Euro Truck Simulator 2 - Scandinavia,"\22,500","\22,000",https://directg.net/game/game_page.html?product_code=50003621,2%,,,Steam,https://image.directg.net/upload/product/goods_1660883830_simg.jpg,시뮬레이션,전체 이용가
Dungeons 2,"\23,600","\19,800",https://directg.net/game/game_page.html?product_code=10001143,16%,,,Steam,https://image.directg.net/upload/product/goods_1477546722_simg.jpg,전략,19세 이용가
State of Decay: YOSE,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50002000,3%,,,Steam,https://image.directg.net/upload/product/goods_1569316606_simg.jpg,액션,19세 이용가
Kerbal Space Program,"\43,000","\39,800",https://directg.net/game/game_page.html?product_code=50005622,7%,,,Steam,https://image.directg.net/upload/product/goods_1753409555_simg.jpg,시뮬레이션,전체 이용가
Shantae and the Pirate's Curse,"\21,000","\19,800",https://directg.net/game/game_page.html?product_code=50003424,6%,,,Steam,https://image.directg.net/upload/product/goods_1654738173_simg.jpg,액션,12세 이용가
Tropico 5 - Inquisition,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001145,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549590_simg.jpg,전략,12세 이용가
Elite Dangerous,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50004393,8%,,,Steam,https://image.directg.net/upload/product/goods_1696409025_simg.jpg,시뮬레이션,12세 이용가
Resident Evil 5 Gold Edition,"\26,100","\26,100",https://directg.net/game/game_page.html?product_code=10001100,0%,,,Steam,https://image.directg.net/upload/product/goods_1477547717_simg.jpg,액션,19세 이용가
Tropico 5 - Supervillain,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001139,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549605_simg.jpg,전략,12세 이용가
Borderlands: The Pre-Sequel - Claptastic Voyage and Ultimate Vault Hunter Upgrade Pack 2,"\10,500","\8,800",https://directg.net/game/game_page.html?product_code=10001131,16%,,,Steam,https://image.directg.net/upload/product/goods_1513237683_simg.jpg,액션,19세 이용가
Sid Meier's Starships,"\15,900","\14,800",https://directg.net/game/game_page.html?product_code=10001119,7%,,,Steam,https://image.directg.net/upload/product/goods_1476418565_simg.jpg,전략,12세 이용가
Hotline Miami 2: Wrong Number,"\16,500","\15,800",https://directg.net/game/game_page.html?product_code=50003524,4%,,,Steam,https://image.directg.net/upload/product/goods_1656992715_simg.jpg,액션,19세 이용가
Cities: Skylines,"\33,000","\29,800",https://directg.net/game/game_page.html?product_code=10001122,10%,,,Steam,https://image.directg.net/upload/product/goods_1657528759_simg.jpg,시뮬레이션,전체 이용가
Cities: Skylines Deluxe Edition,"\44,000","\39,800",https://directg.net/game/game_page.html?product_code=10001123,10%,,,Steam,https://image.directg.net/upload/product/goods_1477539456_simg.jpg,시뮬레이션,전체 이용가
Cities: Skylines - Deluxe Edition Upgrade Pack,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50003459,10%,,,Steam,https://image.directg.net/upload/product/goods_1656066894_simg.jpg,시뮬레이션,전체 이용가
BLACKHOLE,"\9,900","\8,800",https://directg.net/game/game_page.html?product_code=50004183,11%,,,Steam,https://image.directg.net/upload/product/goods_1685519939_simg.jpg,어드벤쳐,전체 이용가
"Europa Universalis IV: Guns, Drums and Steel Volume 2 Music Pack","\3,000","\2,800",https://directg.net/game/game_page.html?product_code=50001257,7%,,,Steam,https://image.directg.net/upload/product/goods_1482224094_simg.jpg,전략,12세 이용가
Europa Universalis IV: El Dorado,"\17,000","\15,400",https://directg.net/game/game_page.html?product_code=10001115,9%,,,Steam,https://image.directg.net/upload/product/goods_1477540670_simg.jpg,전략,12세 이용가
Europa Universalis IV: El Dorado Content Pack,"\7,000","\6,200",https://directg.net/game/game_page.html?product_code=10001116,11%,,,Steam,https://image.directg.net/upload/product/goods_1477540704_simg.jpg,전략,12세 이용가
Europa Universalis IV: El Dorado Collection,"\21,600","\19,800",https://directg.net/game/game_page.html?product_code=10001118,8%,,,Steam,https://image.directg.net/upload/product/goods_1477540824_simg.jpg,전략,12세 이용가
The Book of Unwritten Tales Collection,"\70,000","\66,000",https://directg.net/game/game_page.html?product_code=10001218,6%,,,Steam,https://image.directg.net/upload/product/goods_1625549378_simg.jpg,어드벤쳐,12세 이용가
The Escapists,"\19,000","\18,200",https://directg.net/game/game_page.html?product_code=50003583,4%,,,Steam,https://image.directg.net/upload/product/goods_1659929401_simg.jpg,액션/어드벤쳐,12세 이용가
Tropico 5 - Gone Green,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001109,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549620_simg.jpg,전략,12세 이용가
Grand Theft Auto V Enhanced,"\36,700","\34,800",https://directg.net/game/game_page.html?product_code=50002095,5%,,,Rockstar,https://image.directg.net/upload/product/goods_1743581882_simg.jpg,액션/어드벤쳐,19세 이용가
Borderlands: The Pre-Sequel - Lady Hammerlock the Baroness Pack,"\10,500","\8,800",https://directg.net/game/game_page.html?product_code=10001067,16%,,,Steam,https://image.directg.net/upload/product/goods_1513130244_simg.jpg,액션,19세 이용가
Grey Goo Definitive Edition,"\29,900","\29,900",https://directg.net/game/game_page.html?product_code=10001394,0%,,,Steam,https://image.directg.net/upload/product/goods_1473395572_simg.jpg,시뮬레이션,12세 이용가
Resident Evil / Biohazard HD REMASTER,"\19,000","\18,000",https://directg.net/game/game_page.html?product_code=10001017,5%,,,Steam,https://image.directg.net/upload/product/goods_1477569565_simg.jpg,액션,19세 이용가
Tengami,"\7,800","\6,900",https://directg.net/game/game_page.html?product_code=10001102,12%,,,Steam,https://image.directg.net/upload/product/goods_1472710359_simg.jpg,어드벤쳐,전체 이용가
Tropico 5 - Surfs Up!,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001085,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549635_simg.jpg,전략,12세 이용가
Assetto Corsa Ultimate Edition,"\59,800","\59,800",https://directg.net/game/game_page.html?product_code=50003313,0%,,,Steam,https://image.directg.net/upload/product/goods_1649294014_simg.jpg,레이싱/스포츠,전체 이용가
Tropico 5 - Waterborne,"\9,500","\7,900",https://directg.net/game/game_page.html?product_code=10000975,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549664_simg.jpg,전략,12세 이용가
Borderlands: The Pre-Sequel - Ultimate Vault Hunter Upgrade Pack: The Holodome Onslaught,"\10,500","\8,800",https://directg.net/game/game_page.html?product_code=10000974,16%,,,Steam,https://image.directg.net/upload/product/goods_1513238266_simg.jpg,액션,19세 이용가
Borderlands: The Pre-sequel - Shock Drop Slaughter Pit,"\5,500","\4,400",https://directg.net/game/game_page.html?product_code=10000973,20%,,,Steam,https://image.directg.net/upload/product/goods_1513130407_simg.jpg,액션,19세 이용가
