게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,유저댓글,플랫폼 이름,이미지 URL,장르,연령 등급
EA SPORTS FC™ 26,"₩ 80,000","₩ 80,000",https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3405690/abca0fd9695521a046d407327d82f808162315f7/capsule_sm_120.jpg?t=1753783304,"Simulation, Sports",정보 없음
Red Dead Redemption,"₩ 10,780 / month","₩ 110,200",https://store.steampowered.com/app/2668510/Red_Dead_Redemption/,정보 없음,840,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2668510/c9c0dd50da5b3543c74beb11b6c806fb9fd88a8c/capsule_sm_120.jpg?t=1741118459,Action,정보 없음
iRacing,정보 없음,정보 없음,https://store.steampowered.com/app/266410/iRacing/,0%,157,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/266410/capsule_sm_120.jpg?t=1751293140,"Massively Multiplayer, Racing, Simulation, Sports",정보 없음
Assetto Corsa Competizione,"₩ 48,000","₩ 73,060",https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/,-52%,522,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/805550/capsule_sm_120.jpg?t=1740392896,"Racing, Simulation, Sports",정보 없음
Wuthering Waves,Free,Free,https://store.steampowered.com/app/3513350/Wuthering_Waves/,0%,2980,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3513350/a0d6f891d43e57b9ba2577faf75e5b1d3c681144/capsule_sm_120.jpg?t=1753312991,"Action, Adventure, RPG, Free To Play",정보 없음
Palworld,"₩ 32,000","₩ 5,020",https://store.steampowered.com/app/1623730/Palworld/,84%,4694,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/4f823e476ad290ad4f19763e7d800723df422dfa/capsule_sm_120.jpg?t=1752129522,"Action, Adventure, Indie, RPG, Early Access",정보 없음
The Elder Scrolls® Online,"₩ 22,000","₩ 131,830",https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/,-499%,628,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/306130/f38d05973ad01d20a0c9a49446a80017cb5f8f7d/capsule_sm_120.jpg?t=1752084841,"Action, Adventure, Massively Multiplayer, RPG",정보 없음
Borderlands 4,"₩ 84,800","₩ 154,900",https://store.steampowered.com/app/1285190/Borderlands_4/,-82%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1285190/7f4b1a9cbe01d19fdcbf10ef5dce492098ef0ba8/capsule_sm_120.jpg?t=1752528595,"Action, Adventure, RPG",정보 없음
RimWorld - Odyssey,"₩ 27,000","₩ 61,270",https://store.steampowered.com/app/3022790/RimWorld__Odyssey/,-126%,2455,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3022790/0ec2e24dc7d478bef541ef6f93ec7d24a1f8cffd/capsule_sm_120.jpg?t=1752242125,"Indie, Simulation, Strategy",정보 없음
NBA 2K25,"₩ 94,900","₩ 118,900",https://store.steampowered.com/app/2878980/NBA_2K25/,-25%,2585,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2878980/capsule_sm_120.jpg?t=1751036637,"Simulation, Sports",정보 없음
CarX Street,"₩ 25,500","₩ 17,760",https://store.steampowered.com/app/1114150/CarX_Street/,30%,818,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1114150/d3e7004681e54f64d9453bde0ba1ef43595691f9/capsule_sm_120.jpg?t=1752753045,"Massively Multiplayer, Racing, Simulation, Sports",정보 없음
Wildgate,"₩ 34,000","₩ 22,700",https://store.steampowered.com/app/3504780/Wildgate/,33%,2586,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3504780/22488e2f7358b27d1ccff845bc5bd02e72a1494e/capsule_sm_120.jpg?t=1753741069,Action,정보 없음
Black Myth: Wukong,정보 없음,정보 없음,https://store.steampowered.com/app/2358720/Black_Myth_Wukong/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2358720/b7f722ddd5e23503f598586aa3700dd4d827bb2d/capsule_sm_120.jpg?t=1749182199,정보 없음,정보 없음
Street Fighter™ 6,"₩ 44,800","₩ 344,200",https://store.steampowered.com/app/1364780/Street_Fighter_6/,-668%,813,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1364780/839acb399b7e6ccc7c66b921d4c037ae4e224acf/capsule_sm_120_alt_assets_15.jpg?t=1752729342,"Action, Adventure",정보 없음
Lossless Scaling,"₩ 7,800","₩ 7,800",https://store.steampowered.com/app/993090/Lossless_Scaling/,0%,1526,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/993090/capsule_sm_120.jpg?t=1750017101,Utilities,정보 없음
