이름,링크,이미지,할인률,할인가,정가,DRM
Sniper Elite: Zombie Army Trilogy,https://www.greenmangaming.com/games/zombie-army-trilogy/,https://images.greenmangaming.com/80433eb8821d4dc4959c1550d7e1169b/6fcee66b24a64e368ddd4a6b8ee54233.jpg,-92%,"₩4,100","₩49,000",Steam
Marvel's Midnight Suns Legendary Edition,https://www.greenmangaming.com/games/marvels-midnight-suns-legendary-edition-pc/,https://images.greenmangaming.com/a7c5745adaae437383db35a50cb6b0e5/cab3b7adcdc54c1f8fc33fca64c70839.jpg,-82%,"₩20,700","₩114,800",Steam
Back 4 Blood,https://www.greenmangaming.com/games/back-4-blood-pc/,https://images.greenmangaming.com/d78ba4aa632f459280df20e53ddad429/fd12b20df94c47a383118c55ffb53cfa.jpg,-91%,"₩6,300","₩68,800",Steam
Seven: Enhanced Edition,https://www.greenmangaming.com/games/seven-the-days-long-gone-pc/,https://images.greenmangaming.com/c55d520bfb9c4266ab4c2fe494cba804/42d3ec6b8d504aa29d292ba64e61bfb3.jpg,-95%,"₩1,700","₩33,400",Steam
Sniper Elite 4 Deluxe Edition,https://www.greenmangaming.com/games/sniper-elite-4-deluxe-edition/,https://images.greenmangaming.com/3c6335cb5fbe429cab46c8b361597d9f/b77c3d201bc54371806f43b00976b0f6.jpg,-92%,"₩8,000","₩97,000",Steam
Homeworld Remastered Collection,https://www.greenmangaming.com/games/homeworld-remastered-collection-pc/,https://images.greenmangaming.com/252fc478cc4a406c9277b369bff2aeb8/2551b442dd904727a08dd2be3ab87d2c.jpg,-91%,"₩3,500","₩38,000",Steam
BioShock: The Collection,https://www.greenmangaming.com/games/bioshock-the-collection/,https://images.greenmangaming.com/e339ab5d571345578b5ea0cd8b2bf114/891582614fb84f9c9603c97ca3fc8542.jpg,-82%,"₩11,400","₩63,000",Steam
XCOM® 2,https://www.greenmangaming.com/games/xcom-2/,https://images.greenmangaming.com/b8438e47a89c4f24b172e5904e442a55/641e134966af47568c53b2bc5e7e50ac.jpg,-95%,"₩3,000","₩65,000",Steam
Marvel's Spider-Man 2 - Digital Deluxe Edition,https://www.greenmangaming.com/games/marvels-spider-man-2-digital-deluxe-edition-pc/,https://images.greenmangaming.com/e700014d131348b895f204cf22686246/b7ad68c5d39747b8aaccb829969c8db8.jpg,0%,"₩73,800","₩73,800",Steam
The Elder Scrolls V: Skyrim Anniversary Edition,https://www.greenmangaming.com/games/the-elder-scrolls-v-skyrim-anniversary-edition-pc/,https://images.greenmangaming.com/3e1751769e284a1081289f45b8603181/da5e7978881846edb7f7092150229ef9.jpg,-71%,"₩16,300","₩56,000",Steam
Day of the Shell,https://www.greenmangaming.com/games/day-of-the-shell-pc/,https://images.greenmangaming.com/2f2e4b90ae384a669335784b862be1a6/5f672aa29df34acf978de47705f8d3d9.jpg,0%,"₩16,500","₩16,500",Steam
Moonlighter,https://www.greenmangaming.com/games/moonlighter-pc/,https://images.greenmangaming.com/caa2c0c529e841569da1c3963309b338/c359cf1bdae544849817f471a71092a5.jpg,-91%,"₩1,800","₩20,500",Steam
Remnant 2 Ultimate Edition,https://www.greenmangaming.com/games/remnant-2-ultimate-edition-pc/,https://images.greenmangaming.com/25bb1f95b9134592abb170c08dcc6402/5d60cdd6e4ce4cda963f80ad039c306d.jpg,-66%,"₩25,300","₩74,200",Steam
Gauntlet 4 Pack,https://www.greenmangaming.com/games/gauntlet-4-pack/,https://images.greenmangaming.com/9381c62b137e4ff58d4accfcebee97ee/5858cd5538864365b255d9cb8daec1bd.jpg,-92%,"₩5,200","₩65,000",Steam
Injustice™ 2 Legendary Edition,https://www.greenmangaming.com/games/injustice-2-legendary-edition-pc/,https://images.greenmangaming.com/156837895ae648309613fb192edcbc50/7cbb061d314743ca8e71e42973816692.jpg,-92%,"₩5,200","₩64,900",Steam
Biped 2,https://www.greenmangaming.com/games/biped-2-pc/,https://images.greenmangaming.com/6b9547ce1843481289482239d51e159e/bd5ea2df9b184f8e81d9cb075694f7a4.jpg,0%,,,Steam
Inner Chains,https://www.greenmangaming.com/games/inner-chains/,https://images.greenmangaming.com/4f13960ef85340f7a70653dae3dc20cb/995c60621f6f435dbb6c5f5e5efb5d40.jpg,-95%,"₩1,100","₩21,500",Steam
Sniper Elite 5 Deluxe Edition,https://www.greenmangaming.com/games/sniper-elite-5-deluxe-edition-pc/,https://images.greenmangaming.com/45db397d63374019b409ab9882c24dc6/6a9daf6bca214be9ad50b3002b744cc8.jpg,-84%,"₩13,500","₩82,000",Steam
Scribblenauts Unlimited,https://www.greenmangaming.com/games/scribblenauts-unlimited/,https://images.greenmangaming.com/83eda69677ee4f1cad029033a9a58282/c5c803297e714672864e03607a8908e0.jpg,-92%,"₩1,700","₩21,000",Steam
Harry Potter: Quidditch Champions - Deluxe Edition,https://www.greenmangaming.com/games/harry-potter-quidditch-champions-deluxe-edition-pc/,https://images.greenmangaming.com/949bd5ee5bce42afa1f660459d25da10/982385cbac9740c5ab53e48b24cba5e7.jpg,-82%,"₩10,300","₩56,800",Steam
LEGO City Undercover,https://www.greenmangaming.com/games/lego-city-undercover/,https://images.greenmangaming.com/2ccd9f80f3644a1fa8eb74478b213ccc/5fb9fa2f17764e94aaf87d025a1732d7.jpg,-85%,"₩3,400","₩22,500",Steam
Neptunia Riders VS Dogoos,https://www.greenmangaming.com/games/neptunia-riders-vs-dogoos-pc/,https://images.greenmangaming.com/a5d96a11941c47a98b9543d9d45a32da/2520abf844a745e5af592a345f509d91.jpg,-60%,"₩16,800","₩42,000",Steam
Frostpunk,https://www.greenmangaming.com/games/frostpunk-pc/,https://images.greenmangaming.com/849120b396384e6f8e6701c91bcbfe4c/acca220fb8fd4229a32e7c1f7744ecfa.jpg,-91%,"₩2,800","₩32,000",Steam
Train Sim World® 5: Special Edition,https://www.greenmangaming.com/games/train-sim-world-5-special-edition-pc/,https://images.greenmangaming.com/6262c959196247a2a97404094562be6f/f8b4f949cf8948eeaa4c5cb939fb3ef3.jpg,-80%,"₩25,200","₩126,000",Steam
Deus Ex Collection,https://www.greenmangaming.com/games/deus-ex-collection/,https://images.greenmangaming.com/eda8f22d2f884076846e949496dc5371/e8ccafc7a7d442e6a74ffd9725989c01.jpg,-88%,"₩10,500","₩84,600",Steam
Back 4 Blood Annual Pass,https://www.greenmangaming.com/games/back-4-blood-annual-pass-pc/,https://images.greenmangaming.com/b314f6af80a9401aaeb2766c2c8b43d9/5db0b53b91144ea798ed99d40d7ea053.jpg,-91%,"₩4,200","₩46,000",Steam
Husk,https://www.greenmangaming.com/games/husk/,https://images.greenmangaming.com/7323487168c04f92b0eabf74e17db194/2a5eb47f12a44a78aa0d3473c9a35712.jpg,-95%,"₩1,200","₩23,000",Steam
Sid Meier's Civilization® VI,https://www.greenmangaming.com/games/sid-meiers-civilization-vi/,https://images.greenmangaming.com/434ec7ebcfd24ada803cb041e40cef7e/10d0aeaba6c94409987242723752161f.jpg,-91%,"₩5,900","₩65,000",Steam
Heads Up! Phones Down Edition!,https://www.greenmangaming.com/games/heads-up-phones-down-edition-pc/,https://images.greenmangaming.com/ebcaea1c2d8249d3ba8c8a4d5f70386d/780ffc65c0e1437f94d0f0f60f6b8140.jpg,-95%,"₩1,900","₩42,000",Steam
Back 4 Blood: Deluxe Edition,https://www.greenmangaming.com/games/back-4-blood-deluxe-edition-pc/,https://images.greenmangaming.com/57fc7dfa47c54732a9418f9d72237da3/453e77cfbc5046d5ba2259ccae38e6d6.jpg,-91%,"₩9,300","₩103,000",Steam
